cyclone_name,day,url,source,num_articles
b'asani',20220505,['https://www.wlrn.org/news/2022-05-05/florida-utilities-seek-approval-for-funds-to-reduce-hurricane-damage'],['wlrn.org'],1
b'asani',20220508,['https://www.irishtimes.com/news/world/as-one-drug-cartel-is-cleared-in-mexico-others-storm-in-1.4870393'],['irishtimes.com'],1
b'asani',20220511,['https://www.jamaicaobserver.com/latest-news/corporate-area-drains-to-be-cleaned-in-preparation-for-2022-hurricane-season/'],['jamaicaobserver.com'],1
b'agatha',20220527,['https://www.wpbf.com/article/florida-hurricane-disturbance-atlantic-pacific-mexico/40127728'],['wpbf.com'],1
b'agatha',20220530,"['https://www.marketwatch.com/story/pacific-seasons-1st-hurricane-aims-at-mexico-tourist-zone-01653920042', 'https://www.msn.com/en-us/weather/topstories/mexico-braces-for-deadly-mudslides-as-hurricane-agatha-roars-toward-coast-storm-could-redevelop-in-atlantic/ar-AAXT3Yh', 'https://www.statesmanjournal.com/story/news/nation/2022/05/30/hurricane-agatha-mexico-coast/9992341002/']","['marketwatch.com', 'msn.com', 'statesmanjournal.com']",3
b'agatha',20220531,"['https://www.gulftoday.ae/news/2022/05/31/hurricane-agatha-lashes-southern-mexico-with-rain-as-record-breaking-may-storm', 'https://saudigazette.com.sa/article/621208/World/America/Hurricane-Agatha-lashes-southern-Mexico-with-rain-as-record-breaking-May-storm', 'https://www.startribune.com/hurricane-agatha-sets-may-record-then-weakens-over-mexico/600177819/']","['gulftoday.ae', 'saudigazette.com.sa', 'startribune.com']",3
b'agatha',20220601,"['https://www.swoknews.com/ap/international/hurricane-agatha-kills-10-leaves-20-missing-in-south-mexico/article_69f7eda2-a6bf-55f9-b862-ea06323a20ab.html', 'https://en.as.com/latest_news/hurricane-agatha-in-mexico-can-the-storm-reach-the-us-n/', 'https://gulfnews.com/world/americas/hurricane-agatha-leaves-10-dead-20-missing-in-mexico-1.1654050601038', 'https://www.wvgazettemail.com/ap/international/hurricane-agatha-sets-may-record-then-weakens-over-mexico/article_cb8340d4-6f31-5022-ac7f-db23c50a20ba.html', 'https://mb.com.ph/2022/06/01/10-dead-around-20-missing-after-hurricane-agatha-hits-mexico-local-govt/', 'https://www.bignewsnetwork.com/news/272572941/11-killed-33-missing-after-hurricane-agatha-makes-landfall-near-mexico-oaxaca', 'https://www.thenews.com.pk/latest/962607-11-dead-22-missing-after-hurricane-agatha-hits-mexico']","['swoknews.com', 'as.com', 'gulfnews.com', 'wvgazettemail.com', 'mb.com.ph', 'bignewsnetwork.com', 'thenews.com.pk']",7
b'alex',20220602,"['https://www.msn.com/en-us/weather/topstories/tropical-storm-alex-has-high-chance-of-forming/ar-AAXXOm5', 'https://cajunradio.com/your-hurricane-kit-should-include-these-items/', 'https://nbc-2.com/news/local/2022/06/01/damaged-storm-pipe-floods-cape-coral-neighborhood/', 'https://www.swapacd.com/Grant-Lee-Buffalo-Storm-Hymnal-Gems/cd/572437/', 'https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sara-ali-khans-bikini-picture-from-her-istanbul-vacay-takes-the-internet-by-storm-ananya-panday-goes-bro-what/articleshow/91958698.cms', 'https://kpel965.com/tropical-storm-in-the-gulf-of-mexico-likely-before-weekend/', 'https://realmoney.thestreet.com/markets/hurricane-jamie-recession-risk-sandberg-and-meta-trading-the-energy-sector-16014747', 'https://ottawa.ctvnews.ca/pockets-of-outages-remain-after-may-21-storm-1.5927835', 'https://www.centralmaine.com/2022/06/02/at-least-11-dead-33-missing-in-mexican-hurricane/', 'https://www.digitaljournal.com/world/mexico-lowers-hurricane-agatha-toll-to-nine-dead/article', 'https://www.msn.com/en-us/weather/topstories/remnants-of-hurricane-agatha-poised-to-head-toward-florida/ar-AAXYzBB', 'https://www.wrkf.org/2022-06-02/amid-push-for-more-storm-resilient-builds-11m-affordable-housing-community-opens-in-lafourche', 'https://www.dailycommercial.com/story/weather/hurricanes/2022/06/02/tropical-storm-alex-or-depression-targets-florida-impact-spaghetti-models-forecast-path-flooding/7471143001/']","['msn.com', 'cajunradio.com', 'nbc-2.com', 'swapacd.com', 'indiatimes.com', 'kpel965.com', 'thestreet.com', 'ottawa.ctvnews.ca', 'centralmaine.com', 'digitaljournal.com', 'msn.com', 'wrkf.org', 'dailycommercial.com']",13
b'alex',20220603,"['https://nbc-2.com/news/state/2022/06/02/state-leaders-give-tips-on-how-to-prepare-for-hurricane-season-right-now/', 'https://wusfnews.wusf.usf.edu/weather/2022-06-02/tropical-storm-watch-issued-for-central-and-south-florida-ahead-of-system', 'https://wflanews.iheart.com/featured/florida-news/content/2022-06-02-tropical-storm-watches-issued-for-parts-of-florida/', 'https://www.msn.com/en-us/weather/topstories/tropical-storm-watch-issued-for-south-florida-alex-expected-to-form-by-friday-evening-forecasters-say/ar-AAY12FV', 'https://www.msn.com/en-us/weather/topstories/a-tropical-storm-warning-issued-for-south-florida-and-keys-with-rain-flooding-expected/ar-AAY0ZGK', 'https://kelo.com/2022/06/03/mexican-lgbtq-group-rallies-support-for-paradise-battered-by-storm/', 'https://www.thestar.com.my/news/world/2022/06/03/mexican-lgbtq-group-rallies-support-for-039paradise039-battered-by-storm', 'https://www.fox9.com/news/tropical-storm-warnings-issued-in-central-and-south-florida-as-heavy-rain-gusty-winds-spread-onshore', 'https://www.hometownstations.com/news/national/tropical-storm-warning-for-parts-of-florida-cuba-bahamas/article_d2cd2bb5-36a4-5742-ac02-a981e4854ef8.html', 'https://www.wptv.com/weather/tropical-weather/florida-not-anticipating-emergency-posture-for-storm-governor-says']","['nbc-2.com', 'usf.edu', 'iheart.com', 'msn.com', 'msn.com', 'kelo.com', 'thestar.com.my', 'fox9.com', 'hometownstations.com', 'wptv.com']",10
b'alex',20220604,"['https://www.tahlequahdailypress.com/natlnewsap/tropical-storm-warning-for-parts-of-florida-cuba-bahamas/article_78f0a3bf-f485-5093-a2d9-af36a2274919.html', 'https://lasvegassun.com/news/2022/jun/03/tropical-storm-warning-for-parts-of-florida-cuba-b/', 'https://www.wqcs.org/wqcs-news/2022-06-03/okeechobee-county-advisory-on-potential-tropical-cyclone-1', 'https://www.12newsnow.com/article/news/local/student-from-utah-travel-to-southeast-texas-study-hurricane-impact/502-1188bc1f-c3af-4d47-8172-e2ab39267bcc', 'https://www.katc.com/news/covering-louisiana/122m-allocated-to-hurricane-recovery-and-repairs-for-grand-isle', 'https://www.wqcs.org/wqcs-news/2022-06-03/martin-county-under-tropical-storm-warning-flood-watch', 'https://wccfradio.iheart.com/content/2022-06-03-much-of-floridas-coastlines-now-under-tropical-storm-warnings/', 'http://www.sun-sentinel.com/news/weather/hurricane/fl-ne-florida-tropical-storm-alex-saturday-20220604-sy3brsancfgcla4wyeoa6zqepq-story.html', 'https://www.msn.com/en-us/weather/topstories/live-updates-potential-tropical-storm-weakens-overnight-heres-latest-for-bradenton/ar-AAY4Knm', 'https://www.cbc.ca/news/canada/ottawa/backlogs-to-repair-homes-after-storm-derecho-ottawa-1.6475400', 'https://www.fox9.com/weather/south-florida-flooding-tropical-storm-warning-alex', 'https://abc17news.com/news/national-world/cnn-national/2022/06/04/south-florida-gets-soaked-as-potential-tropical-storm-prepares-to-cross-state-2/', 'https://ktvz.com/news/national-world/cnn-national/2022/06/04/south-florida-gets-soaked-as-potential-tropical-storm-prepares-to-cross-state/', 'https://www.x1071.com/2022/06/04/photos-cottage-grove-police-help-rescue-ducklings-from-storm-drain/']","['tahlequahdailypress.com', 'lasvegassun.com', 'wqcs.org', '12newsnow.com', 'katc.com', 'wqcs.org', 'iheart.com', 'sun-sentinel.com', 'msn.com', 'cbc.ca', 'fox9.com', 'abc17news.com', 'ktvz.com', 'x1071.com']",14
