Storm_ID,Storm_Name,Ocean_Basin,Year,Timestamp,number,atcf_id,Latitude,Longitude,Observed_Wind_Max_Knots,Observed_Pressure_Min_mb,Storm_Speed_Knots,Storm_Direction_Deg,ERA5_Temp_2m_Kelvin,ERA5_Pressure_MSL_hPa,ERA5_Wind_U_Component,ERA5_Wind_V_Component,ERA5_Position_Error_km,latitude,longitude,RW_Casualty_Info,RW_Injured_Info,RW_Evacuated_Displaced,RW_Affected_Population,RW_Disease_Context,RW_Report_Link,RW_Total_Reports
2022008S17173,CODY,SP,2022.0,2022-01-09 21:00:00.000039936,2.0,b'SH052022',-20.0,176.9,43.0,997.0,6.0,250.0,300.67188,989.73126,5.5473785,-4.479767,10.448905048536384,-20.0,177.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-10 00:00:00.000039936,2.0,b'SH052022',-20.1,176.6,40.0,997.0,7.0,240.0,300.86206,989.52435,5.097061,-7.008667,15.256253368069132,-20.0,176.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-10 03:00:00.000039936,2.0,b'SH052022',-20.3,176.2,48.0,990.0,8.0,235.0,300.90283,986.6331,-0.9296417,7.3640137,30.480362227350348,-20.5,176.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-10 06:00:00.000039936,2.0,b'SH052022',-20.5,175.8,55.0,983.0,8.0,240.0,300.9851,985.76935,3.2588654,0.96458435,20.83063777764225,-20.5,176.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-10 09:00:00.000039936,2.0,b'SH052022',-20.6,175.6,53.0,984.0,8.0,255.0,300.7849,987.20435,2.0970154,2.0603485,15.233223445616956,-20.5,175.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-10 12:00:00.000039936,2.0,b'SH052022',-20.7,175.3,50.0,985.0,9.0,265.0,300.37134,987.95935,-0.31806946,-9.786331,30.46177721504349,-20.5,175.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-10 15:00:00.000039936,2.0,b'SH052022',-20.7,174.8,48.0,988.0,9.0,270.0,300.05444,985.6069,2.5664673,-2.5748749,30.46177721504349,-20.5,175.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-10 18:00:00.000039936,2.0,b'SH052022',-20.7,174.3,45.0,991.0,6.0,265.0,299.61255,986.1994,4.217972,-3.705841,30.46177721504349,-20.5,174.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-10 21:00:00.000039936,2.0,b'SH052022',-20.7,174.0,45.0,991.0,4.0,245.0,299.84497,986.03375,1.0526428,-4.277115,22.238985328911777,-20.5,174.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-11 00:00:00.000039936,2.0,b'SH052022',-20.8,173.8,45.0,990.0,3.0,235.0,300.00757,988.075,-12.210678,-7.6366425,30.43359935302624,-21.0,174.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-11 03:00:00.000039936,2.0,b'SH052022',-20.8,173.6,45.0,990.0,3.0,225.0,300.00317,985.3206,-4.8893127,1.1899109,24.54547522860094,-21.0,173.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-11 06:00:00.000039936,2.0,b'SH052022',-20.9,173.5,45.0,989.0,3.0,215.0,299.67676,985.1075,-5.1320343,-0.3176422,11.119492664456242,-21.0,173.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-11 09:00:00.000039936,2.0,b'SH052022',-21.0,173.4,48.0,991.0,3.0,195.0,299.7981,985.9469,-0.9654083,-0.059921265,10.3809405349023,-21.0,173.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-11 12:00:00.000039936,2.0,b'SH052022',-21.2,173.4,50.0,992.0,4.0,170.0,299.38208,987.1838,5.1307526,-7.7970123,24.53959168605516,-21.0,173.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-11 15:00:00.000039936,2.0,b'SH052022',-21.4,173.5,53.0,989.0,5.0,155.0,299.08813,984.6625,0.1270752,-3.9903412,11.119492664456242,-21.5,173.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-11 18:00:00.000039936,2.0,b'SH052022',-21.8,173.7,55.0,986.0,8.0,165.0,299.05737,985.7294,-3.334488,-0.37738037,30.33709560019247,-22.0,173.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-11 21:00:00.000039936,2.0,b'SH052022',-22.3,173.8,58.0,984.0,11.0,170.0,299.1914,988.9381,-7.3588257,-8.371536,30.28737472409775,-22.5,174.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-12 00:00:00.000039936,2.0,b'SH052022',-22.8,173.9,60.0,982.0,9.0,170.0,298.96094,988.595,-6.932495,-11.303818,24.48456029109974,-23.0,174.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-12 03:00:00.000039936,2.0,b'SH052022',-23.1,173.9,58.0,984.0,7.0,170.0,299.09106,986.3269,1.4924622,-12.720276,15.110652279747418,-23.0,174.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-12 06:00:00.000039936,2.0,b'SH052022',-23.4,174.0,55.0,985.0,9.0,155.0,298.9087,985.22125,-4.534317,-6.5667877,11.119492664456242,-23.5,174.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-12 09:00:00.000039936,2.0,b'SH052022',-23.7,174.2,53.0,987.0,11.0,145.0,298.7749,986.21,1.7705994,-4.3383484,30.164125272358724,-23.5,174.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-12 12:00:00.000039936,2.0,b'SH052022',-24.1,174.5,50.0,989.0,9.0,145.0,298.47974,986.90875,0.6592407,-11.833252,11.119492664455889,-24.0,174.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-12 15:00:00.000039936,2.0,b'SH052022',-24.5,174.8,48.0,989.0,7.0,145.0,298.73535,986.3113,-3.296173,-13.17482,20.236613586066245,-24.5,175.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-12 18:00:00.000039936,2.0,b'SH052022',-24.9,175.1,45.0,988.0,8.0,140.0,298.43457,986.95935,-4.145996,-5.4931946,15.009508826757743,-25.0,175.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-12 21:00:00.000039936,2.0,b'SH052022',-25.3,175.5,45.0,987.0,10.0,135.0,298.75977,988.2994,-5.355377,-8.705475,22.238985328911777,-25.5,175.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-13 00:00:00.000039936,2.0,b'SH052022',-25.6,175.9,45.0,986.0,9.0,140.0,298.60645,987.2006,1.1940765,-9.835312,14.976190530199542,-25.5,176.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-13 03:00:00.000039936,2.0,b'SH052022',-25.9,176.2,48.0,985.0,8.0,145.0,298.61646,984.7569,3.4065247,-6.8106537,22.88041909407093,-26.0,176.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-13 06:00:00.000039936,2.0,b'SH052022',-26.2,176.4,50.0,984.0,8.0,150.0,298.58643,983.9437,4.1258087,-8.542328,24.37795555992023,-26.0,176.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-13 09:00:00.000039936,2.0,b'SH052022',-26.5,176.6,50.0,983.0,7.0,150.0,298.37744,983.77374,-0.42123413,-3.5337524,9.951215817541822,-26.5,176.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-13 12:00:00.000039936,2.0,b'SH052022',-26.8,176.9,50.0,982.0,7.0,150.0,298.05615,983.2463,-3.5682983,-5.6876373,24.34966134935751,-27.0,177.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-13 15:00:00.000039936,2.0,b'SH052022',-27.2,177.2,55.0,979.0,7.0,145.0,297.82812,980.51685,3.2648468,-3.4984894,29.77431594714124,-27.0,177.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-13 18:00:00.000039936,2.0,b'SH052022',-27.5,177.5,60.0,976.0,5.0,155.0,297.8723,982.0,-5.842102,-8.986023,0.0,-27.5,177.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-13 21:00:00.000039936,2.0,b'SH052022',-27.7,177.5,55.0,979.0,4.0,160.0,297.625,982.2644,-4.3786926,-4.261902,22.238985328911777,-27.5,177.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-14 00:00:00.000039936,2.0,b'SH052022',-27.9,177.4,50.0,981.0,4.0,130.0,297.78198,983.16815,-5.7915344,3.8502808,14.836583216747472,-28.0,177.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-14 03:00:00.000039936,2.0,b'SH052022',-28.0,177.7,48.0,982.0,6.0,110.0,297.96313,982.255,-1.0338287,9.931244,19.635856366572387,-28.0,177.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-14 06:00:00.000039936,2.0,b'SH052022',-28.0,178.0,45.0,983.0,5.0,105.0,298.08154,981.8844,1.2776794,1.610611,0.0,-28.0,178.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-14 09:00:00.000039936,2.0,b'SH052022',-28.0,178.2,45.0,986.0,5.0,105.0,297.9253,983.6937,2.6112976,6.3245697,19.635856366572387,-28.0,178.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-14 12:00:00.000039936,2.0,b'SH052022',-28.1,178.5,45.0,989.0,6.0,105.0,297.51416,983.1969,2.5763397,1.1019897,11.119492664455889,-28.0,178.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-14 15:00:00.000039936,2.0,b'SH052022',-28.2,178.8,45.0,989.0,7.0,105.0,297.36084,982.5019,4.2300262,0.7286835,29.6550525014545,-28.0,179.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-14 18:00:00.000039936,2.0,b'SH052022',-28.3,179.2,45.0,989.0,7.0,105.0,297.03882,984.5731,-1.335907,6.7199707,29.61862138812615,-28.5,179.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-14 21:00:00.000039936,2.0,b'SH052022',-28.4,179.6,45.0,990.0,7.0,105.0,297.48145,984.89624,1.2280273,-0.41523743,14.806265528288126,-28.5,179.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-15 00:00:00.000039936,2.0,b'SH052022',-28.5,-180.0,45.0,990.0,9.0,125.0,297.38867,986.96814,4.435837,-4.058014,0.0,-28.5,180.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-15 03:00:00.000039936,2.0,b'SH052022',-28.8,-179.6,50.0,986.0,11.0,140.0,297.48657,985.6294,4.223053,-5.1200256,24.27626575714584,-29.0,180.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-15 06:00:00.000039936,2.0,b'SH052022',-29.2,-179.3,55.0,981.0,10.0,145.0,297.37036,986.13,4.177582,-1.1208191,29.532470037878312,-29.0,180.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-15 09:00:00.000039936,2.0,b'SH052022',-29.5,-179.0,55.0,981.0,9.0,150.0,297.2317,985.66125,1.5930176,-7.7331085,0.0,-29.5,181.0,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022008S17173,CODY,SP,2022.0,2022-01-15 12:00:00.000039936,2.0,b'SH052022',-29.7,-178.7,55.0,981.0,9.0,160.0,296.615,986.225,7.442642,-8.97493,29.46996801233512,-29.5,181.5,N/A,N/A,10,N/A,N/A,https://reliefweb.int/node/3806881,1
2022020S13060,ANA,SI,2022.0,2022-01-20 00:00:00.000039936,3.0,b'SH072022',-13.1,59.1,20.0,1007.0,11.0,215.0,299.72827,1006.3931,-6.5066833,1.3110962,15.523598291878187,-13.0,59.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-20 03:00:00.000039936,3.0,b'SH072022',-13.4,59.1,23.0,1007.0,10.0,215.0,300.292,1007.11,-6.635742,-0.97473145,15.511187977758524,-13.5,59.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-20 06:00:00.000039936,3.0,b'SH072022',-13.7,59.1,25.0,1006.0,8.0,210.0,300.4524,1007.1181,-3.6487885,-1.4364471,24.726079194877105,-13.5,59.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-20 09:00:00.000039936,3.0,b'SH072022',-13.9,59.1,28.0,1005.0,6.0,200.0,300.80566,1005.7562,-3.5262146,0.3880005,15.495173686379797,-14.0,59.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-20 12:00:00.000039936,3.0,b'SH072022',-14.2,59.0,30.0,1003.0,6.0,190.0,300.08228,1003.5206,1.7650146,7.5308075,22.2389853289116,-14.0,59.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-20 15:00:00.000039936,3.0,b'SH072022',-14.6,58.9,33.0,1002.0,7.0,190.0,299.79175,1004.79626,0.540802,8.172745,15.475225333424778,-14.5,59.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-20 18:00:00.000039936,3.0,b'SH072022',-14.9,58.7,35.0,1001.0,6.0,190.0,299.91553,1006.96313,4.3486023,7.5590363,24.19299093541576,-15.0,58.5,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-20 21:00:00.000039936,3.0,b'SH072022',-15.0,58.6,35.0,1001.0,6.0,205.0,299.4265,1005.4306,3.8461914,7.7648163,10.740605048509332,-15.0,58.5,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-21 00:00:00.000039936,3.0,b'SH072022',-15.2,58.4,35.0,1001.0,9.0,215.0,300.0547,1004.26874,7.478668,2.8078766,24.69462892461165,-15.0,58.5,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-21 03:00:00.000039936,3.0,b'SH072022',-15.6,58.0,33.0,1002.0,13.0,220.0,299.77783,1005.71936,5.0311127,1.2046509,11.119492664455889,-15.5,58.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-21 06:00:00.000039936,3.0,b'SH072022',-16.1,57.6,30.0,1003.0,11.0,225.0,299.67725,1006.1312,4.693634,0.98028564,15.421901138955311,-16.0,57.5,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-21 09:00:00.000039936,3.0,b'SH072022',-16.5,57.4,28.0,1006.0,10.0,235.0,300.5271,1005.57874,1.2835083,-2.875702,10.661588899245348,-16.5,57.5,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-21 12:00:00.000039936,3.0,b'SH072022',-16.8,57.0,25.0,1008.0,13.0,255.0,300.57056,1004.1981,1.4776764,-4.115143,22.238985328911777,-17.0,57.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-21 15:00:00.000039936,3.0,b'SH072022',-17.0,56.0,28.0,1006.0,18.0,260.0,299.417,1005.355,-0.40660095,-0.35665894,0.0,-17.0,56.0,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-21 18:00:00.000039936,3.0,b'SH072022',-17.2,54.7,30.0,1004.0,21.0,260.0,299.83984,1006.8706,-2.7189941,1.7873535,30.76335018522716,-17.0,54.5,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-21 21:00:00.000039936,3.0,b'SH072022',-17.4,53.5,30.0,1004.0,22.0,260.0,299.2207,1005.8575,-3.6491547,1.1212769,11.119492664455889,-17.5,53.5,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
2022020S13060,ANA,SI,2022.0,2022-01-22 00:00:00.000039936,3.0,b'SH072022',-17.5,52.4,30.0,1004.0,23.0,265.0,299.13428,1003.8269,-3.6546478,-3.1552124,10.60484851609995,-17.5,52.5,N/A,N/A,N/A,120763,N/A,https://reliefweb.int/node/3840771,17
